# Program:featureCounts v2.0.3; Command:"featureCounts" "-a" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/data/GRCh38.p13_reference_files/gencode.v43.primary_assembly.annotation.gtf" "-o" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/feature_counts/s2_count_data.txt" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control1/control1Aligned.sortedByCoord.out.bam" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control2/control2Aligned.sortedByCoord.out.bam" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control3/control3Aligned.sortedByCoord.out.bam" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control4/control4Aligned.sortedByCoord.out.bam" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control5/control5Aligned.sortedByCoord.out.bam" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control6/control6Aligned.sortedByCoord.out.bam" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control7/control7Aligned.sortedByCoord.out.bam" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control8/control8Aligned.sortedByCoord.out.bam" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control9/control9Aligned.sortedByCoord.out.bam" "-F" "GTF" "--largestOverlap" "-p" "--countReadPairs" "-s" "2" "-B" "-C" "-T" "64" "-t" "gene" "-g" "gene_name" "--Rpath" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/feature_counts/" "--tmpDir" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/scripts/temp" "--verbose" 
Geneid	Chr	Start	End	Strand	Length	/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control1/control1Aligned.sortedByCoord.out.bam	/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control2/control2Aligned.sortedByCoord.out.bam	/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control3/control3Aligned.sortedByCoord.out.bam	/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control4/control4Aligned.sortedByCoord.out.bam	/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control5/control5Aligned.sortedByCoord.out.bam	/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control6/control6Aligned.sortedByCoord.out.bam	/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control7/control7Aligned.sortedByCoord.out.bam	/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control8/control8Aligned.sortedByCoord.out.bam	/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control9/control9Aligned.sortedByCoord.out.bam
CICP3	chr1	722092	724903	+	2812	0	0	0	0	0	0	0	0	0
ENSG00000291215	chr1	725885	778688	-	52804	0	0	0	0	0	0	0	0	0
RNU6-1199P	chr1	758233	758336	-	104	0	0	0	0	0	0	0	0	0
ENSG00000229905	chr1	760911	761989	+	1079	0	0	0	0	0	0	0	0	0
ENSG00000228327	chr1	764723	774280	-	9558	0	0	0	0	0	0	0	0	0
LINC01409	chr1	778747	810065	+	31319	31	33	43	33	35	32	25	35	24
ENSG00000285268	chr1	781937	782050	+	114	0	0	0	0	0	0	0	0	0
ENSG00000290784	chr1	800879	817712	-	16834	0	0	0	0	0	0	0	0	0
ENSG00000230092	chr1	805799	810161	-	4363	0	0	0	0	0	0	0	0	0
FAM87B	chr1	817371	819837	+	2467	0	0	0	0	0	0	0	0	0
LINC00115	chr1	824228	827539	-	3312	0	0	0	0	0	0	0	0	0
LINC01128	chr1	825138	859446	+	34309	315	284	309	233	317	246	310	299	255
ENSG00000288531	chr1	860226	868202	+	7977	0	3	1	4	1	0	0	2	0
FAM41C	chr1	868071	876903	-	8833	0	0	0	0	0	0	0	0	0
TUBB8P11	chr1	873292	874349	+	1058	0	0	0	0	0	0	0	0	0
ENSG00000283040	chr1	874529	877234	-	2706	0	0	0	0	0	0	0	0	0
ENSG00000272438	chr1	904834	915976	+	11143	7	8	9	11	9	5	7	6	6
ENSG00000230699	chr1	911435	914948	+	3514	0	0	0	0	0	0	0	0	0
ENSG00000241180	chr1	914171	914971	+	801	0	0	0	0	0	0	0	0	0
LINC02593	chr1	916865	921016	-	4152	0	1	0	3	0	1	0	1	0
SAMD11	chr1	923923	944575	+	20653	6	1	0	6	5	7	0	7	7
NOC2L	chr1	944203	959309	-	15107	6550	6429	6442	6546	6813	6504	7099	6548	6226
KLHL17	chr1	960584	965719	+	5136	167	248	198	216	205	182	201	174	181
PLEKHN1	chr1	966482	975865	+	9384	20	27	20	22	24	27	28	10	19
PERM1	chr1	975198	982117	-	6920	0	0	0	0	0	0	0	0	0
ENSG00000272512	chr1	995966	998051	-	2086	0	1	0	0	0	2	1	1	0
HES4	chr1	998962	1000172	-	1211	5	4	1	3	4	4	12	4	6
ISG15	chr1	1001138	1014540	+	13403	201	240	250	218	212	235	287	229	251
ENSG00000231702	chr1	1008076	1008229	-	154	0	0	0	0	0	0	0	0	0
ENSG00000224969	chr1	1011997	1013193	-	1197	2	0	0	0	1	0	0	1	1
AGRN	chr1	1020120	1056118	+	35999	5231	5451	5459	4900	5188	5405	5761	5490	5398
ENSG00000242590	chr1	1055033	1056116	+	1084	0	0	0	0	0	0	0	0	0
ENSG00000291156	chr1	1059687	1066459	+	6773	3	15	4	9	10	7	2	1	6
ENSG00000273443	chr1	1062208	1063288	-	1081	0	0	0	0	0	0	0	0	0
ENSG00000217801	chr1	1063079	1069355	+	6277	1	0	0	0	1	0	0	0	0
RNF223	chr1	1070967	1074306	-	3340	0	0	0	0	1	0	2	0	0
C1orf159	chr1	1081818	1116361	-	34544	254	276	270	231	223	256	292	243	284
ENSG00000285812	chr1	1097585	1104598	+	7014	0	0	0	0	0	0	0	0	0
LINC01342	chr1	1137017	1144056	+	7040	0	5	0	2	0	0	0	1	3
MIR200B	chr1	1167104	1167198	+	95	0	0	0	0	0	0	0	0	0
MIR200A	chr1	1167863	1167952	+	90	0	0	0	2	0	1	0	0	0
MIR429	chr1	1169005	1169087	+	83	0	1	3	0	2	1	0	1	0
ENSG00000272141	chr1	1169357	1170343	+	987	5	10	2	6	2	6	5	5	3
TTLL10-AS1	chr1	1173056	1179555	-	6500	5	2	0	1	2	2	3	1	7
TTLL10	chr1	1173880	1197936	+	24057	5	21	29	23	20	13	35	11	27
TNFRSF18	chr1	1203508	1206592	-	3085	7	8	14	6	8	13	16	7	8
TNFRSF4	chr1	1211326	1214153	-	2828	0	0	0	0	1	0	0	0	0
SDF4	chr1	1216931	1232031	-	15101	2868	2866	2731	2771	2784	2802	2890	2739	2560
B3GALT6	chr1	1232237	1235041	+	2805	915	960	835	843	941	879	801	996	864
C1QTNF12	chr1	1242446	1246722	-	4277	21	34	16	28	23	34	36	15	35
ENSG00000260179	chr1	1249777	1251334	-	1558	3	5	6	3	1	1	2	3	4
UBE2J2	chr1	1253909	1273864	-	19956	1958	1955	1986	1835	1990	1990	2060	2025	1979
LINC01786	chr1	1275223	1280420	+	5198	2	7	4	12	0	6	2	2	7
SCNN1D	chr1	1280436	1292029	+	11594	17	22	29	21	21	23	21	21	18
ACAP3	chr1	1292390	1309609	-	17220	505	542	619	454	550	510	469	467	502
MIR6726	chr1	1296110	1296170	-	61	0	0	0	0	0	0	0	0	0
PUSL1	chr1	1308597	1311677	+	3081	803	800	832	811	922	816	755	905	898
INTS11	chr1	1311585	1324687	-	13103	2189	2276	2241	2293	2225	2303	2321	2175	2256
MIR6727	chr1	1312502	1312566	-	65	0	0	0	0	0	0	0	0	0
ENSG00000240731	chr1	1317581	1318689	-	1109	0	0	0	0	0	0	0	0	0
CPTP	chr1	1324756	1328896	+	4141	392	446	423	425	429	518	431	456	450
TAS1R3	chr1	1331280	1335314	+	4035	0	3	4	4	3	0	0	6	1
DVL1	chr1	1335276	1349418	-	14143	1308	1406	1442	1439	1349	1329	1432	1306	1385
MIR6808	chr1	1339650	1339708	-	59	0	0	0	0	0	0	0	0	0
MXRA8	chr1	1352689	1361777	-	9089	368	384	323	345	394	374	364	421	311
AURKAIP1	chr1	1373730	1375207	-	1478	2574	2562	2707	2685	2624	2731	2992	2844	2892
NDUFB4P8	chr1	1378666	1379032	+	367	0	0	0	0	0	0	0	0	0
CCNL2	chr1	1385711	1399335	-	13625	1462	1415	1462	1346	1413	1286	1193	1184	1166
MRPL20-AS1	chr1	1399515	1402046	+	2532	527	568	519	557	522	527	588	497	509
MRPL20	chr1	1401909	1407293	-	5385	2789	2602	2585	2500	2711	2544	2599	2702	2544
RN7SL657P	chr1	1405460	1405752	-	293	0	0	0	0	0	0	0	0	0
MRPL20-DT	chr1	1409096	1410618	+	1523	58	81	58	38	61	50	44	49	42
ANKRD65	chr1	1418420	1421769	-	3350	23	36	13	22	27	26	22	35	32
ANKRD65-AS1	chr1	1420245	1422691	+	2447	0	4	8	12	2	1	8	7	4
TMEM88B	chr1	1425871	1430255	+	4385	111	129	130	108	100	152	134	125	109
LINC01770	chr1	1430539	1434573	-	4035	46	44	48	54	48	47	40	51	53
VWA1	chr1	1434861	1442882	+	8022	1572	1506	1591	1473	1566	1498	1442	1504	1536
ATAD3C	chr1	1449689	1470163	+	20475	21	29	19	17	24	23	16	7	14
ATAD3B	chr1	1471765	1497848	+	26084	2395	2272	2472	2317	2485	2439	2309	2505	2276
ENSG00000290916	chr1	1503250	1509466	+	6217	4	0	2	0	3	4	1	0	0
ENSG00000284740	chr1	1503582	1509351	+	5770	0	0	0	0	0	0	0	0	0
ATAD3A	chr1	1512162	1534685	+	22524	2249	2427	2351	2364	2581	2239	2367	2441	2286
TMEM240	chr1	1534778	1540624	-	5847	85	73	84	93	61	79	93	100	113
SSU72	chr1	1541673	1574863	-	33191	4442	4430	4570	4589	4757	4902	4831	4695	4345
ENSG00000215014	chr1	1574102	1577075	+	2974	43	39	41	30	26	33	38	29	26
ENSG00000274481	chr1	1583510	1583909	-	400	0	0	0	0	0	0	0	0	0
FNDC10	chr1	1598012	1600135	-	2124	377	337	368	355	319	352	427	401	382
ENSG00000286989	chr1	1600314	1602703	+	2390	2	6	9	7	7	6	10	3	6
ENSG00000272106	chr1	1613758	1615795	-	2038	111	137	114	105	76	132	103	107	99
MIB2	chr1	1615454	1630605	+	15152	638	731	679	654	662	739	737	678	725
MMP23B	chr1	1632163	1635263	+	3101	9	15	7	6	9	17	28	12	27
CDK11B	chr1	1635225	1659012	-	23788	1662	1651	1673	1725	1598	1546	1628	1548	1627
ENSG00000272004	chr1	1659325	1662602	+	3278	4	8	1	1	11	4	4	8	1
SLC35E2B	chr1	1659529	1692795	-	33267	950	894	860	906	846	896	891	844	914
ENSG00000269737	chr1	1671990	1674397	+	2408	0	0	1	0	0	0	0	0	0
MMP23A	chr1	1699942	1701782	+	1841	4	0	3	0	1	1	1	0	1
CDK11A	chr1	1702379	1724357	-	21979	116	134	116	103	108	130	123	111	118
ENSG00000268575	chr1	1702736	1737688	-	34953	16	16	11	15	9	13	14	12	14
ENSG00000227775	chr1	1724512	1737251	+	12740	10	6	7	2	2	8	2	8	9
ENSG00000290854	chr1	1724838	1745992	-	21155	44	50	37	49	40	41	48	36	42
SLC35E2A	chr1	1734690	1739557	-	4868	0	0	0	0	0	0	0	0	0
NADK	chr1	1751232	1780457	-	29226	1532	1640	1648	1743	1672	1676	1655	1577	1764
GNB1	chr1	1785285	1892292	-	107008	14793	14173	14999	14647	15408	15626	16167	14940	14301
GNB1-DT	chr1	1891223	1892726	+	1504	1	3	6	0	1	2	1	2	6
CALML6	chr1	1915108	1917296	+	2189	1	1	3	7	1	6	1	3	3
TMEM52	chr1	1917590	1919279	-	1690	179	202	164	208	169	205	220	177	194
CFAP74	chr1	1921951	2003837	-	81887	9	13	17	14	19	23	25	29	14
ENSG00000233542	chr1	2013213	2015639	-	2427	5	7	12	12	8	16	5	3	11
GABRD	chr1	2019329	2030758	+	11430	48	61	56	29	46	59	38	53	64
PRKCZ-DT	chr1	2049203	2050070	-	868	3	0	0	2	0	2	0	0	2
PRKCZ	chr1	2050411	2185395	+	134985	1196	1127	1241	1180	1329	1146	1288	1200	1304
ENSG00000271806	chr1	2141084	2145279	-	4196	0	0	0	0	0	0	0	0	0
PRKCZ-AS1	chr1	2181794	2184389	-	2596	60	101	77	93	63	75	79	74	85
FAAP20	chr1	2184461	2212720	-	28260	1505	1510	1378	1502	1491	1474	1576	1554	1426
ENSG00000234396	chr1	2212523	2220738	+	8216	3	1	6	1	1	0	1	0	5
SKI	chr1	2227388	2310213	+	82826	4458	4373	4523	4260	4414	4285	4929	4569	4408
ENSG00000287356	chr1	2315040	2323085	+	8046	67	69	47	31	35	38	25	39	39
MORN1	chr1	2321253	2391707	-	70455	181	239	190	172	198	169	211	205	212
ENSG00000272161	chr1	2326201	2326693	-	493	0	0	0	0	0	0	0	0	0
ENSG00000269896	chr1	2350414	2352820	-	2407	0	0	0	0	0	0	0	0	0
ENSG00000272420	chr1	2363061	2363628	-	568	0	0	0	0	0	0	0	0	0
RER1	chr1	2391775	2405442	+	13668	2427	2324	2362	2290	2393	2477	2271	2360	2286
PEX10	chr1	2403964	2413797	-	9834	1418	1273	1237	1208	1290	1242	1313	1323	1256
PLCH2	chr1	2425980	2505532	+	79553	7	8	9	5	7	7	6	7	3
ENSG00000224387	chr1	2492300	2493258	-	959	0	0	0	0	0	0	0	0	0
ENSG00000229393	chr1	2493437	2494479	-	1043	0	0	0	0	0	0	0	1	0
PANK4	chr1	2508537	2526597	-	18061	653	712	627	576	605	591	663	612	656
HES5	chr1	2528745	2530263	-	1519	1	0	0	0	0	0	0	2	0
ENSG00000272449	chr1	2530064	2547471	+	17408	18	17	21	25	18	25	38	11	21
TNFRSF14-AS1	chr1	2549920	2557031	-	7112	0	0	0	0	0	0	0	0	0
TNFRSF14	chr1	2555639	2565382	+	9744	0	3	3	2	1	4	0	3	3
ENSG00000225931	chr1	2566410	2569888	+	3479	0	0	0	0	0	0	0	0	0
ENSG00000228037	chr1	2581560	2584533	+	2974	0	0	0	0	0	0	0	0	0
ENSG00000289610	chr1	2585610	2586060	+	451	0	0	0	0	0	0	0	0	0
PRXL2B	chr1	2586491	2591469	+	4979	1806	1834	1804	1694	1735	1899	1866	1917	1763
MMEL1	chr1	2590639	2633016	-	42378	1	3	4	0	0	0	2	2	3
MMEL1-AS1	chr1	2632568	2636620	+	4053	0	0	0	0	0	0	0	0	0
TTC34	chr1	2636986	2801693	-	164708	1	0	0	0	0	0	0	1	0
ENSG00000285945	chr1	2768091	2784733	+	16643	0	0	0	0	0	0	0	0	0
ENSG00000283259	chr1	2773603	2776473	+	2871	0	0	0	0	0	0	0	0	0
ENSG00000233234	chr1	2811850	2812692	-	843	0	0	0	0	0	0	0	0	0
ENSG00000287396	chr1	2814056	2817767	+	3712	0	0	0	0	0	0	0	0	0
ENSG00000231630	chr1	2814432	2814998	-	567	0	0	0	0	0	0	0	0	0
ENSG00000284745	chr1	2960658	2968707	-	8050	0	0	0	0	0	0	0	0	0
ACTRT2	chr1	3021467	3022903	+	1437	0	0	0	0	0	0	0	0	0
PRDM16-DT	chr1	3059611	3069091	-	9481	0	1	0	0	0	1	0	0	0
PRDM16	chr1	3069168	3438621	+	369454	19	19	30	23	24	25	24	50	18
MIR4251	chr1	3127975	3128035	+	61	0	0	0	0	0	0	0	0	0
ENSG00000226286	chr1	3132927	3133709	-	783	0	1	0	0	0	0	1	0	0
ENSG00000279839	chr1	3205988	3208664	+	2677	0	0	0	0	0	0	0	0	0
ENSG00000272235	chr1	3306636	3310096	-	3461	0	0	0	0	0	0	0	0	0
ENSG00000287828	chr1	3313052	3323149	-	10098	2	0	0	0	0	0	0	0	0
ENSG00000286518	chr1	3367815	3373928	-	6114	0	0	0	0	0	0	0	0	0
ARHGEF16	chr1	3454665	3481113	+	26449	738	714	717	684	801	759	714	717	635
ENSG00000272088	chr1	3487246	3487627	+	382	2	0	1	2	0	0	0	0	3
MEGF6	chr1	3487951	3611508	-	123558	325	375	378	332	274	245	280	273	342
MIR551A	chr1	3560695	3560790	-	96	0	0	0	0	0	0	0	0	0
ENSG00000238260	chr1	3622857	3624786	-	1930	0	8	1	5	4	3	2	1	2
TPRG1L	chr1	3625015	3630127	+	5113	1286	1190	1196	1274	1256	1262	1163	1226	1271
WRAP73	chr1	3630767	3652761	-	21995	477	483	575	495	501	497	556	521	537
TP73	chr1	3652516	3736201	+	83686	46	47	61	54	66	63	83	72	85
TP73-AS3	chr1	3658938	3668772	-	9835	0	0	0	0	0	0	0	0	0
TP73-AS2	chr1	3712200	3714298	-	2099	0	0	0	0	0	0	0	0	0
TP73-AS1	chr1	3735511	3747373	-	11863	1274	1296	1470	1287	1266	1239	1389	1296	1369
ENSG00000276189	chr1	3736943	3737103	+	161	0	0	1	0	0	0	0	0	0
CCDC27	chr1	3746460	3771645	+	25186	3	1	6	3	3	0	2	0	3
SMIM1	chr1	3772749	3775982	+	3234	20	26	6	20	13	20	26	27	34
LRRC47	chr1	3778559	3796498	-	17940	3765	3851	4140	4108	4072	4080	4189	4080	4026
RN7SL574P	chr1	3782815	3783111	+	297	1	0	0	0	0	0	0	0	0
ENSG00000272153	chr1	3785008	3785538	+	531	0	0	0	0	0	0	7	0	0
CEP104	chr1	3812086	3857396	-	45311	839	885	901	840	920	1043	825	849	866
DFFB	chr1	3857267	3885429	+	28163	272	336	272	278	349	257	272	276	251
C1orf174	chr1	3889125	3900293	-	11169	823	759	788	775	747	904	702	668	789
LINC01134	chr1	3900347	3917225	+	16879	10	5	18	9	16	0	14	8	9
LINC01346	chr1	3940486	3955262	+	14777	0	0	0	0	0	0	1	0	0
LINC01345	chr1	3944547	3949024	-	4478	0	0	0	0	0	0	0	0	0
LINC02780	chr1	3976133	4012704	+	36572	0	0	0	0	0	0	0	0	0
ENSG00000284703	chr1	4012921	4019508	-	6588	0	0	0	0	0	1	0	0	0
EEF1DP6	chr1	4175528	4175899	-	372	0	0	0	0	0	0	0	0	0
LINC01777	chr1	4412027	4424689	+	12663	0	0	0	0	0	0	0	0	0
ENSG00000284694	chr1	4479131	4484375	-	5245	0	0	0	0	0	0	0	0	0
ENSG00000227169	chr1	4551735	4552145	-	411	0	0	0	0	0	0	0	0	0
LINC01646	chr1	4571481	4594016	+	22536	0	0	0	0	0	0	0	0	0
AJAP1	chr1	4654609	4792534	+	137926	174	151	137	144	209	153	155	119	125
ENSG00000287586	chr1	4730211	4734992	-	4782	0	0	1	0	0	0	0	0	0
ENSG00000284739	chr1	4963954	4973298	-	9345	0	0	0	0	0	0	0	0	0
LINC02781	chr1	4973381	4981568	+	8188	0	0	0	0	0	0	0	0	0
LINC02782	chr1	5086459	5090899	-	4441	9	6	14	6	6	7	10	5	7
ENSG00000284616	chr1	5301928	5307394	-	5467	1	0	0	0	0	0	0	0	0
ENSG00000284692	chr1	5478736	5493057	-	14322	0	0	0	0	0	0	0	0	0
ENSG00000284666	chr1	5480787	5482028	-	1242	0	0	0	0	0	0	0	0	0
ENSG00000260972	chr1	5492978	5494674	+	1697	0	0	0	0	0	0	0	0	0
ENSG00000283356	chr1	5554747	5554881	+	135	0	0	0	0	0	0	0	0	0
ENSG00000236948	chr1	5561709	5668295	-	106587	3	2	4	2	1	3	2	0	2
ENSG00000264341	chr1	5564071	5564143	+	73	0	0	0	0	0	0	0	0	0
ENSG00000289893	chr1	5733358	5771453	-	38096	1	1	1	1	1	4	4	2	4
MIR4689	chr1	5862672	5862741	-	70	0	0	0	0	0	0	0	0	0
NPHP4	chr1	5862811	5992473	-	129663	417	373	409	384	300	369	355	320	315
