# Program:featureCounts v2.0.3; Command:"featureCounts" "-a" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/data/GRCh38.p13_reference_files/gencode.v43.primary_assembly.annotation.gtf" "-o" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/sophie_new7122023/results/feature_counts/s2/new7122023_count_data.txt" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/sophie_new7122023/results/star_mapping_outputs/T14-A2/T14-A2Aligned.sortedByCoord.out.bam" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/sophie_new7122023/results/star_mapping_outputs/T14-A3/T14-A3Aligned.sortedByCoord.out.bam" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/sophie_new7122023/results/star_mapping_outputs/T14-A4/T14-A4Aligned.sortedByCoord.out.bam" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/sophie_new7122023/results/star_mapping_outputs/T15A-A3/T15A-A3Aligned.sortedByCoord.out.bam" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/sophie_new7122023/results/star_mapping_outputs/T15A-A4/T15A-A4Aligned.sortedByCoord.out.bam" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/sophie_new7122023/results/star_mapping_outputs/T15A-A7/T15A-A7Aligned.sortedByCoord.out.bam" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/sophie_new7122023/results/star_mapping_outputs/T16-A1/T16-A1Aligned.sortedByCoord.out.bam" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/sophie_new7122023/results/star_mapping_outputs/T16-A3/T16-A3Aligned.sortedByCoord.out.bam" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/sophie_new7122023/results/star_mapping_outputs/T16-A9/T16-A9Aligned.sortedByCoord.out.bam" "-F" "GTF" "--largestOverlap" "-p" "--countReadPairs" "-s" "2" "-B" "-C" "-T" "64" "-t" "gene" "-g" "gene_name" "--Rpath" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/sophie_new7122023/results/feature_counts/" "--tmpDir" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/sophie_new7122023/scripts/temp" "--verbose" 
Geneid	Chr	Start	End	Strand	Length	/nesi/nobackup/uoa03817/rnaseq_data_analysis/sophie_new7122023/results/star_mapping_outputs/T14-A2/T14-A2Aligned.sortedByCoord.out.bam	/nesi/nobackup/uoa03817/rnaseq_data_analysis/sophie_new7122023/results/star_mapping_outputs/T14-A3/T14-A3Aligned.sortedByCoord.out.bam	/nesi/nobackup/uoa03817/rnaseq_data_analysis/sophie_new7122023/results/star_mapping_outputs/T14-A4/T14-A4Aligned.sortedByCoord.out.bam	/nesi/nobackup/uoa03817/rnaseq_data_analysis/sophie_new7122023/results/star_mapping_outputs/T15A-A3/T15A-A3Aligned.sortedByCoord.out.bam	/nesi/nobackup/uoa03817/rnaseq_data_analysis/sophie_new7122023/results/star_mapping_outputs/T15A-A4/T15A-A4Aligned.sortedByCoord.out.bam	/nesi/nobackup/uoa03817/rnaseq_data_analysis/sophie_new7122023/results/star_mapping_outputs/T15A-A7/T15A-A7Aligned.sortedByCoord.out.bam	/nesi/nobackup/uoa03817/rnaseq_data_analysis/sophie_new7122023/results/star_mapping_outputs/T16-A1/T16-A1Aligned.sortedByCoord.out.bam	/nesi/nobackup/uoa03817/rnaseq_data_analysis/sophie_new7122023/results/star_mapping_outputs/T16-A3/T16-A3Aligned.sortedByCoord.out.bam	/nesi/nobackup/uoa03817/rnaseq_data_analysis/sophie_new7122023/results/star_mapping_outputs/T16-A9/T16-A9Aligned.sortedByCoord.out.bam
U6	chr1;chr1;chr1;chr1;chr1;chr2;chr2;chr3;chr3;chr4;chr4;chr4;chr4;chr4;chr9;chr10;chr11;chr11;chr12;chr12;chr13;chr14;chr15;chr15;chr15;chr16;chr17;chr20;chr20;chr21;chr22;chr22;chrX;GL000213.1;KI270727.1;KI270727.1;KI270744.1	516376;43023549;247607126;43716467;180758722;47781379;88367793;129819777;139388277;13051342;29510635;48109353;70848136;135315418;64082429;102868421;87648489;132525809;31366288;45554590;18418526;24352057;21428879;65843484;98026042;72376704;90796;30713240;35769785;28743208;15273855;16141767;86481028;127840;34890;156089;51009	516479;43023637;247607201;43716556;180758817;47781465;88367862;129819876;139388364;13051411;29510737;48109410;70848218;135315522;64082534;102868519;87648549;132525887;31366366;45554659;18418632;24352157;21428985;65843558;98026139;72376760;90899;30713346;35769867;28743291;15273961;16141872;86481130;127946;34996;156195;51114	-;-;-;+;+;+;-;+;+;+;+;-;-;-;+;+;-;+;+;-;+;-;-;+;+;+;-;-;-;+;+;+;+;-;+;-;-	3379	0	0	0	0	0	0	0	0	0
ENSG00000230021	chr1	586071	827796	-	241726	74	93	64	84	112	79	56	63	81
ENSG00000235146	chr1	587629	594768	+	7140	0	0	0	0	0	0	0	0	0
MTND1P23	chr1	629062	629433	+	372	0	2	1	1	0	0	2	2	1
MTND2P28	chr1	629640	630683	+	1044	78	57	43	56	63	70	45	40	33
MTCO1P12	chr1	631074	632616	+	1543	254	254	259	272	223	260	142	162	143
ENSG00000278791	chr1	632325	632413	-	89	0	0	0	0	0	0	0	0	0
MTCO2P12	chr1	632757	633438	+	682	10	10	8	10	4	6	4	6	4
MTATP8P1	chr1	633535	633741	+	207	1	0	0	2	0	0	0	3	0
MTATP6P1	chr1	633696	634376	+	681	3456	3389	3257	3601	3481	3430	2468	2470	2742
MTCO3P12	chr1	634376	634922	+	547	18	24	19	16	17	17	8	15	16
WBP1LP6	chr1	674842	675265	+	424	0	0	0	0	0	0	0	0	0
OR4F16	chr1	685716	686654	-	939	0	0	0	0	0	0	0	0	0
CICP3	chr1	722092	724903	+	2812	2	0	0	0	0	0	0	0	0
ENSG00000291215	chr1	725885	778688	-	52804	0	0	0	0	0	0	0	0	0
RNU6-1199P	chr1	758233	758336	-	104	0	0	0	0	0	0	0	0	0
ENSG00000229905	chr1	760911	761989	+	1079	0	0	0	0	0	0	0	0	0
ENSG00000228327	chr1	764723	774280	-	9558	0	0	0	0	0	0	0	0	0
LINC01409	chr1	778747	810065	+	31319	27	31	24	30	41	20	28	28	16
ENSG00000285268	chr1	781937	782050	+	114	0	0	0	0	0	0	0	0	0
ENSG00000290784	chr1	800879	817712	-	16834	0	0	0	0	0	0	0	0	0
ENSG00000230092	chr1	805799	810161	-	4363	0	0	0	0	0	0	0	0	0
FAM87B	chr1	817371	819837	+	2467	0	0	0	0	0	0	0	0	0
LINC00115	chr1	824228	827539	-	3312	0	0	0	0	0	0	0	0	0
LINC01128	chr1	825138	859446	+	34309	180	231	230	176	214	253	232	266	313
ENSG00000288531	chr1	860226	868202	+	7977	6	1	1	0	3	3	2	0	1
FAM41C	chr1	868071	876903	-	8833	0	0	1	0	0	0	0	0	2
TUBB8P11	chr1	873292	874349	+	1058	0	0	0	0	0	0	0	0	0
ENSG00000283040	chr1	874529	877234	-	2706	0	0	0	0	0	0	0	2	0
ENSG00000272438	chr1	904834	915976	+	11143	10	5	26	19	10	9	5	5	4
ENSG00000230699	chr1	911435	914948	+	3514	0	0	0	0	0	0	0	0	0
ENSG00000241180	chr1	914171	914971	+	801	0	0	0	0	0	0	0	0	0
LINC02593	chr1	916865	921016	-	4152	2	0	2	2	0	1	0	1	0
SAMD11	chr1	923923	944575	+	20653	9	13	40	13	15	22	15	19	10
NOC2L	chr1	944203	959309	-	15107	3193	3485	4718	3186	3686	3756	4063	4478	5071
KLHL17	chr1	960584	965719	+	5136	64	59	120	81	144	65	52	71	90
PLEKHN1	chr1	966482	975865	+	9384	12	20	33	16	19	21	23	14	13
PERM1	chr1	975198	982117	-	6920	0	0	0	0	1	1	0	0	1
ENSG00000272512	chr1	995966	998051	-	2086	0	1	2	0	0	1	0	0	0
HES4	chr1	998962	1000172	-	1211	8	5	26	2	3	3	1	3	3
ISG15	chr1	1001138	1014540	+	13403	156	152	210	168	141	164	138	186	165
ENSG00000231702	chr1	1008076	1008229	-	154	0	0	3	1	2	1	0	0	1
ENSG00000224969	chr1	1011997	1013193	-	1197	0	4	0	0	1	0	0	0	0
AGRN	chr1	1020120	1056118	+	35999	2297	2160	2753	2393	2512	2730	2535	2938	2780
ENSG00000242590	chr1	1055033	1056116	+	1084	0	0	0	0	0	0	0	0	0
ENSG00000291156	chr1	1059687	1066459	+	6773	10	14	19	12	2	11	2	0	9
ENSG00000273443	chr1	1062208	1063288	-	1081	0	0	0	0	0	0	0	0	0
ENSG00000217801	chr1	1063079	1069355	+	6277	0	0	0	0	0	0	0	0	0
RNF223	chr1	1070967	1074306	-	3340	0	0	0	0	0	0	0	0	0
C1orf159	chr1	1081818	1116361	-	34544	94	108	98	135	149	105	122	119	127
ENSG00000285812	chr1	1097585	1104598	+	7014	1	0	0	0	0	0	0	1	0
LINC01342	chr1	1137017	1144056	+	7040	1	2	0	0	1	2	0	0	4
MIR200B	chr1	1167104	1167198	+	95	0	0	0	0	0	0	0	0	0
MIR200A	chr1	1167863	1167952	+	90	0	2	0	0	0	0	0	0	0
MIR429	chr1	1169005	1169087	+	83	0	0	0	0	0	0	0	0	0
ENSG00000272141	chr1	1169357	1170343	+	987	0	1	0	0	2	0	0	0	2
TTLL10-AS1	chr1	1173056	1179555	-	6500	0	1	0	1	0	3	1	0	0
TTLL10	chr1	1173880	1197936	+	24057	10	21	0	24	29	15	6	21	13
TNFRSF18	chr1	1203508	1206592	-	3085	8	13	1	9	13	5	9	9	7
TNFRSF4	chr1	1211326	1214153	-	2828	0	0	0	0	0	1	1	2	1
SDF4	chr1	1216931	1232031	-	15101	1778	1712	2143	1684	1890	2050	2093	2443	2547
B3GALT6	chr1	1232237	1235041	+	2805	474	437	362	385	420	491	604	652	576
C1QTNF12	chr1	1242446	1246722	-	4277	8	11	16	7	9	6	6	10	12
ENSG00000260179	chr1	1249777	1251334	-	1558	3	1	3	5	5	1	1	0	3
UBE2J2	chr1	1253909	1273864	-	19956	1156	1293	1296	1216	1375	1504	1392	1451	1822
LINC01786	chr1	1275223	1280420	+	5198	1	1	1	4	3	4	1	5	4
SCNN1D	chr1	1280436	1292029	+	11594	15	12	11	13	16	10	8	8	13
ACAP3	chr1	1292390	1309609	-	17220	171	206	213	198	296	198	172	235	250
MIR6726	chr1	1296110	1296170	-	61	0	0	0	0	0	0	0	0	0
PUSL1	chr1	1308597	1311677	+	3081	359	276	369	344	382	388	370	338	467
INTS11	chr1	1311585	1324687	-	13103	1138	1185	1175	1067	1341	1236	1354	1642	1506
MIR6727	chr1	1312502	1312566	-	65	0	0	0	0	0	0	0	0	0
ENSG00000240731	chr1	1317581	1318689	-	1109	0	0	0	0	0	0	0	0	0
CPTP	chr1	1324756	1328896	+	4141	174	187	184	124	187	194	192	181	240
TAS1R3	chr1	1331280	1335314	+	4035	0	2	0	0	0	0	1	2	1
DVL1	chr1	1335276	1349418	-	14143	574	575	809	655	735	594	475	530	836
MIR6808	chr1	1339650	1339708	-	59	0	0	0	0	0	0	0	0	0
MXRA8	chr1	1352689	1361777	-	9089	135	166	90	94	133	147	150	195	227
AURKAIP1	chr1	1373730	1375207	-	1478	1080	1192	1257	1126	1251	1350	1429	1360	1580
NDUFB4P8	chr1	1378666	1379032	+	367	0	0	0	0	0	0	0	0	0
CCNL2	chr1	1385711	1399335	-	13625	758	895	766	908	1168	781	1082	1129	1147
MRPL20-AS1	chr1	1399515	1402046	+	2532	343	300	317	298	382	311	408	366	449
MRPL20	chr1	1401909	1407293	-	5385	1548	1694	1445	1422	1641	1657	1986	2149	2234
RN7SL657P	chr1	1405460	1405752	-	293	0	0	0	0	0	0	0	0	0
MRPL20-DT	chr1	1409096	1410618	+	1523	41	63	48	49	65	32	38	48	47
ANKRD65	chr1	1418420	1421769	-	3350	18	25	29	18	19	30	4	25	32
ANKRD65-AS1	chr1	1420245	1422691	+	2447	14	3	4	3	7	8	0	4	4
TMEM88B	chr1	1425871	1430255	+	4385	58	63	68	48	78	44	34	36	143
LINC01770	chr1	1430539	1434573	-	4035	25	14	17	30	35	29	17	31	16
VWA1	chr1	1434861	1442882	+	8022	411	404	350	416	408	462	595	723	698
ATAD3C	chr1	1449689	1470163	+	20475	11	10	1	7	11	9	14	37	9
ATAD3B	chr1	1471765	1497848	+	26084	446	600	471	503	893	659	1243	1462	1180
ENSG00000290916	chr1	1503250	1509466	+	6217	0	2	1	0	2	0	0	0	1
ENSG00000284740	chr1	1503582	1509351	+	5770	0	0	0	0	0	0	0	0	0
ATAD3A	chr1	1512162	1534685	+	22524	821	893	1185	934	1140	995	1226	1383	1573
TMEM240	chr1	1534778	1540624	-	5847	41	65	47	45	35	52	24	19	60
SSU72	chr1	1541673	1574863	-	33191	3458	3505	3523	3340	3391	3918	3816	4079	4629
ENSG00000215014	chr1	1574102	1577075	+	2974	24	33	34	29	23	36	48	51	48
ENSG00000274481	chr1	1583510	1583909	-	400	0	0	0	0	0	0	0	0	0
FNDC10	chr1	1598012	1600135	-	2124	236	187	389	214	209	252	155	197	179
ENSG00000286989	chr1	1600314	1602703	+	2390	5	6	5	5	11	5	5	1	5
ENSG00000272106	chr1	1613758	1615795	-	2038	107	79	75	64	60	101	61	42	73
MIB2	chr1	1615454	1630605	+	15152	211	221	203	235	275	226	213	276	342
MMP23B	chr1	1632163	1635263	+	3101	8	1	1	2	1	0	1	2	0
CDK11B	chr1	1635225	1659012	-	23788	1247	1325	1595	1405	1595	1381	1481	1480	1728
ENSG00000272004	chr1	1659325	1662602	+	3278	6	12	3	1	3	2	6	7	7
SLC35E2B	chr1	1659529	1692795	-	33267	656	590	708	643	653	665	642	700	837
ENSG00000269737	chr1	1671990	1674397	+	2408	0	0	1	1	0	0	1	0	0
MMP23A	chr1	1699942	1701782	+	1841	0	0	3	2	2	2	0	0	1
CDK11A	chr1	1702379	1724357	-	21979	62	77	68	83	111	75	103	123	105
ENSG00000268575	chr1	1702736	1737688	-	34953	1	2	3	3	9	3	1	7	2
ENSG00000227775	chr1	1724512	1737251	+	12740	21	15	14	24	31	19	17	22	21
ENSG00000290854	chr1	1724838	1745992	-	21155	32	28	30	31	22	28	20	15	27
SLC35E2A	chr1	1734690	1739557	-	4868	0	0	0	0	0	0	0	0	0
NADK	chr1	1751232	1780457	-	29226	1412	1462	2225	1246	1237	1522	1000	1139	1658
GNB1	chr1	1785285	1892292	-	107008	14004	13553	16301	13593	12837	15445	13269	15046	17442
GNB1-DT	chr1	1891223	1892726	+	1504	3	1	8	6	1	5	0	1	9
CALML6	chr1	1915108	1917296	+	2189	0	2	3	1	2	1	2	0	0
TMEM52	chr1	1917590	1919279	-	1690	100	98	122	122	95	131	85	56	138
CFAP74	chr1	1921951	2003837	-	81887	7	13	0	4	6	7	5	8	13
ENSG00000233542	chr1	2013213	2015639	-	2427	6	12	5	1	2	5	3	0	3
GABRD	chr1	2019329	2030758	+	11430	26	18	34	12	21	19	21	9	46
PRKCZ-DT	chr1	2049203	2050070	-	868	0	0	0	2	0	0	0	1	0
PRKCZ	chr1	2050411	2185395	+	134985	993	950	1307	981	977	1060	718	805	1274
ENSG00000271806	chr1	2141084	2145279	-	4196	9	4	4	1	3	1	1	0	1
PRKCZ-AS1	chr1	2181794	2184389	-	2596	37	60	54	59	70	89	62	99	59
FAAP20	chr1	2184461	2212720	-	28260	509	498	466	559	588	570	585	629	709
ENSG00000234396	chr1	2212523	2220738	+	8216	0	0	0	2	0	0	1	1	1
SKI	chr1	2227388	2310213	+	82826	3258	3154	3735	3006	3063	3341	2939	3403	3992
ENSG00000287356	chr1	2315040	2323085	+	8046	25	24	8	23	21	27	20	35	19
MORN1	chr1	2321253	2391707	-	70455	131	118	153	131	186	149	230	282	173
ENSG00000272161	chr1	2326201	2326693	-	493	0	0	0	0	0	0	0	0	0
ENSG00000269896	chr1	2350414	2352820	-	2407	0	0	0	0	0	0	0	0	0
ENSG00000272420	chr1	2363061	2363628	-	568	0	0	0	0	0	0	0	0	0
RER1	chr1	2391775	2405442	+	13668	1473	1671	1754	1515	1711	1801	2321	2502	2351
PEX10	chr1	2403964	2413797	-	9834	648	642	622	681	709	762	930	952	920
PLCH2	chr1	2425980	2505532	+	79553	6	7	2	0	0	3	0	0	6
ENSG00000224387	chr1	2492300	2493258	-	959	0	0	0	0	0	0	0	0	0
ENSG00000229393	chr1	2493437	2494479	-	1043	0	0	0	0	0	0	0	0	0
PANK4	chr1	2508537	2526597	-	18061	576	574	788	649	549	563	348	296	668
HES5	chr1	2528745	2530263	-	1519	2	0	1	0	0	0	0	0	0
ENSG00000272449	chr1	2530064	2547471	+	17408	10	13	26	8	12	14	3	5	17
TNFRSF14-AS1	chr1	2549920	2557031	-	7112	0	0	0	0	0	0	0	0	0
TNFRSF14	chr1	2555639	2565382	+	9744	2	0	0	0	2	2	1	1	0
ENSG00000225931	chr1	2566410	2569888	+	3479	0	0	0	0	0	0	0	0	0
ENSG00000228037	chr1	2581560	2584533	+	2974	1	0	0	0	0	0	0	0	0
ENSG00000289610	chr1	2585610	2586060	+	451	0	0	0	0	0	0	0	0	0
PRXL2B	chr1	2586491	2591469	+	4979	772	739	746	625	794	744	899	947	1114
MMEL1	chr1	2590639	2633016	-	42378	16	12	6	12	12	11	9	14	18
MMEL1-AS1	chr1	2632568	2636620	+	4053	0	0	0	0	0	0	0	0	0
TTC34	chr1	2636986	2801693	-	164708	0	0	0	0	0	0	0	0	0
ENSG00000285945	chr1	2768091	2784733	+	16643	0	0	0	0	0	0	0	0	0
ENSG00000283259	chr1	2773603	2776473	+	2871	0	0	0	0	0	0	0	0	0
ENSG00000233234	chr1	2811850	2812692	-	843	0	0	0	0	0	0	0	0	0
ENSG00000287396	chr1	2814056	2817767	+	3712	0	0	0	0	0	0	0	0	0
ENSG00000231630	chr1	2814432	2814998	-	567	0	0	0	0	0	0	0	0	0
ENSG00000284745	chr1	2960658	2968707	-	8050	0	0	0	0	0	0	0	0	0
ACTRT2	chr1	3021467	3022903	+	1437	0	0	0	0	0	0	0	0	0
PRDM16-DT	chr1	3059611	3069091	-	9481	0	0	5	0	0	0	0	0	0
PRDM16	chr1	3069168	3438621	+	369454	19	12	57	24	17	35	16	11	17
MIR4251	chr1	3127975	3128035	+	61	0	0	0	0	0	0	0	0	0
ENSG00000226286	chr1	3132927	3133709	-	783	1	0	0	0	0	0	0	0	0
ENSG00000279839	chr1	3205988	3208664	+	2677	0	0	0	0	0	0	0	0	0
ENSG00000272235	chr1	3306636	3310096	-	3461	0	0	0	0	0	0	0	0	0
ENSG00000287828	chr1	3313052	3323149	-	10098	0	1	0	0	0	0	0	1	0
ENSG00000286518	chr1	3367815	3373928	-	6114	0	0	0	0	0	0	0	0	0
ARHGEF16	chr1	3454665	3481113	+	26449	280	262	462	277	355	299	510	661	434
ENSG00000272088	chr1	3487246	3487627	+	382	0	0	1	0	0	4	1	1	5
MEGF6	chr1	3487951	3611508	-	123558	162	162	225	218	288	207	189	279	215
MIR551A	chr1	3560695	3560790	-	96	0	0	0	0	0	0	0	0	0
ENSG00000238260	chr1	3622857	3624786	-	1930	6	2	1	1	1	4	0	0	2
TPRG1L	chr1	3625015	3630127	+	5113	973	958	1303	931	926	1028	950	1221	1239
WRAP73	chr1	3630767	3652761	-	21995	304	317	486	331	348	354	285	291	446
TP73	chr1	3652516	3736201	+	83686	108	102	90	88	75	117	14	17	47
TP73-AS3	chr1	3658938	3668772	-	9835	0	1	0	0	0	0	0	0	0
TP73-AS2	chr1	3712200	3714298	-	2099	0	0	0	0	0	0	0	0	0
TP73-AS1	chr1	3735511	3747373	-	11863	1027	987	1175	1183	1361	1191	1064	1229	1321
ENSG00000276189	chr1	3736943	3737103	+	161	0	0	0	0	0	0	0	1	2
CCDC27	chr1	3746460	3771645	+	25186	6	5	14	9	8	4	2	12	3
SMIM1	chr1	3772749	3775982	+	3234	5	12	20	5	14	8	5	12	8
LRRC47	chr1	3778559	3796498	-	17940	2737	2825	4251	2682	2766	3023	3072	3455	3758
RN7SL574P	chr1	3782815	3783111	+	297	0	3	0	0	0	0	0	1	0
ENSG00000272153	chr1	3785008	3785538	+	531	16	13	20	20	17	10	9	21	7
CEP104	chr1	3812086	3857396	-	45311	702	714	908	756	844	752	793	879	963
DFFB	chr1	3857267	3885429	+	28163	176	164	275	196	245	195	188	146	295
C1orf174	chr1	3889125	3900293	-	11169	546	623	760	606	666	746	483	345	833
LINC01134	chr1	3900347	3917225	+	16879	2	7	8	3	5	7	6	10	3
LINC01346	chr1	3940486	3955262	+	14777	0	0	0	0	0	0	0	0	0
LINC01345	chr1	3944547	3949024	-	4478	0	0	0	0	0	0	0	0	0
LINC02780	chr1	3976133	4012704	+	36572	0	0	0	0	0	0	1	0	0
ENSG00000284703	chr1	4012921	4019508	-	6588	0	0	0	0	0	0	0	3	2
EEF1DP6	chr1	4175528	4175899	-	372	0	0	0	0	0	0	0	0	0
LINC01777	chr1	4412027	4424689	+	12663	0	0	0	0	0	0	0	0	0
ENSG00000284694	chr1	4479131	4484375	-	5245	0	0	0	0	0	0	0	0	0
ENSG00000227169	chr1	4551735	4552145	-	411	0	0	0	0	0	0	0	0	0
LINC01646	chr1	4571481	4594016	+	22536	0	0	0	0	0	0	0	0	0
AJAP1	chr1	4654609	4792534	+	137926	67	114	1029	81	119	82	206	133	177
ENSG00000287586	chr1	4730211	4734992	-	4782	0	0	0	0	0	0	0	0	1
ENSG00000284739	chr1	4963954	4973298	-	9345	0	0	0	0	0	0	0	0	0
LINC02781	chr1	4973381	4981568	+	8188	0	0	0	0	0	0	0	0	0
